SKU,Short description,Tags
STO-ITEM-2020-00520,<ul>\n<li>এভোনি পেন্ট স্টাইল ডায়পার মিডিয়াম ৭-১২ কেজি ৪০ পিস</li>\n</ul>\n,"ডায়াপার,বেবী,dieper,diper,babi"
STO-ITEM-2020-00521,<ul>\n<li>এভোনি পেন্ট স্টাইল ডায়পার লার্জ ৯-১৪ কেজি ৩৪ পিস</li>\n</ul>\n,"ডায়াপার,বেবী,dieper,diper,babi
"
STO-ITEM-2020-00523,<ul>\n<li>গোদরেজ এয়ার স্প্রে পেটাল ক্রাশ পিংক ২৪০ মিলি</li>\n</ul>\n,"ফ্রেশনার,পিঙ্ক,ফ্রেসনার,রুম স্প্রে,air freshner,office"
STO-ITEM-2020-00524,<ul>\n<li>গোদরেজ এয়ার স্প্রে কুল সারফ বুলু ২৪০ মিলি</li>\n</ul>\n,"ফ্রেশনার,পিঙ্ক,ফ্রেসনার,রুম স্প্রে,air freshner,office"
STO-ITEM-2020-00525,<ul>\n<li>গোদরেজ এয়ার স্প্রে ভায়োলেট ভ্যালি ভ্লুম ২৪০ মিলি</li>\n</ul>\n,"ফ্রেশনার,পিঙ্ক,ফ্রেসনার,রুম স্প্রে,air freshner,office"
STO-ITEM-2020-00526,<ul>\n<li>গোদরেজ এয়ার পকেট ব্রাইট টেঙ্গি ডিলাইট ১০ গ্রাম</li>\n</ul>\n,"ফ্রেশনার,পিঙ্ক,অফিস,বাথরুম,ওয়াশরুম,টয়লেট,godrej,air freshner,pink,office,bathroom,washroom,toilet"
STO-ITEM-2020-00527,<ul>\n<li>গোদরেজ এয়ার পকেট পেটাল ক্রাশ পিংক ১০ গ্রাম</li>\n</ul>\n,"ফ্রেশনার,পিঙ্ক,অফিস,বাথরুম,ওয়াশরুম,টয়লেট,godrej,air freshner,pink,office,bathroom,washroom,toilet"
STO-ITEM-2020-00530,<ul>\n<li>গোদরেজ এয়ার স্প্রে ভায়োলেট ভ্যালি ভ্লুম ১০ মিলি</li>\n</ul>\n,"ফ্রেশনার,পিঙ্ক,ফ্রেসনার,রুম স্প্রে,air freshner,office"
STO-ITEM-2020-00531,<ul>\n<li>গুড নাইট এক্সপ্রেস মেশিন লিকুইড ভ্যাপুরাইজার উইথ রিফিল</li>\n</ul>\n,"কয়েল,coil,koil,matchine,"
STO-ITEM-2020-00532,<ul>\n<li>গুড নাইট একটিভ প্লাস ভ্যাপুরাইজার উইথ রিফিল</li>\n</ul>\n,"কয়েল,coil,koil,matchine,"
STO-ITEM-2020-00535,<ul>\n<li>গুড নাইট এক্সপ্রেস রিফিল (লিকুইড ভ্যাপুরাইজার)</li>\n</ul>\n,"কয়েল,coil,koil,matchine,"
